DIGEST_TEXT,exec_count,total_time_s,avg_time_s,rows_examined,rows_sent,label_slow
"SELECT `o` . `id` AS `order_id` , `u` . `city` , `p` . `category` , SUM ( `oi` . `quantity` * `oi` . `unit_price` ) AS `total` FROM `orders` `o` JOIN `users` `u` ON `o` . `user_id` = `u` . `id` JOIN `order_items` `oi` ON `oi` . `order_id` = `o` . `id` JOIN `products` `p` ON `p` . `id` = `oi` . `product_id` GROUP BY `o` . `id` , `u` . `city` , `p` . `category` ORDER BY `total` DESC",10657,365.876689147,0.03433205303059022,220152306,50045272,1
"SELECT `u` . `city` , AVG ( `s` . `duration` ) AS `avg_duration` , COUNT ( * ) AS `nb` FROM `users` `u` JOIN `sessions` `s` ON `u` . `id` = `s` . `user_id` GROUP BY `u` . `city` ORDER BY `avg_duration` DESC",10291,120.610257233,0.011719974466329804,62744227,82328,1
"SELECT `o` . `id` AS `order_id` , `o` . `created_at` , ( SELECT COUNT ( * ) FROM `sessions` `s` WHERE `s` . `user_id` = `o` . `user_id` AND `s` . `created_at` >= `o` . `created_at` - INTERVAL ? SQL_TSI_DAY ) AS `nb_sessions_recent` , `p` . `category` , SUM ( `oi` . `quantity` * `oi` . `unit_price` ) AS `total_line` FROM `orders` `o` JOIN `order_items` `oi` ON `oi` . `order_id` = `o` . `id` JOIN `products` `p` ON `p` . `id` = `oi` . `product_id` WHERE `o` . `created_at` >= NOW ( ) - INTERVAL ? SQL_TSI_DAY GROUP BY `o` . `id` , `o` . `created_at` , `p` . `category` ORDER BY `nb_sessions_recent` DESC , `total_line` DESC LIMIT ?",1637,113.439736855,0.06929733467012827,45252355,818500,1
"SELECT `u` . `id` AS `user_id` , `u` . `city` , COUNT ( DISTINCTROW `o` . `id` ) AS `nb_orders` , SUM ( `oi` . `quantity` ) AS `total_items` , SUM ( `oi` . `quantity` * `oi` . `unit_price` ) AS `total_spent` FROM `users` `u` JOIN `orders` `o` ON `o` . `user_id` = `u` . `id` JOIN `order_items` `oi` ON `oi` . `order_id` = `o` . `id` JOIN `products` `p` ON `p` . `id` = `oi` . `product_id` WHERE `o` . `created_at` >= NOW ( ) - INTERVAL ? SQL_TSI_DAY GROUP BY `u` . `id` , `u` . `city` HAVING `total_items` > ? ORDER BY `total_spent` DESC LIMIT ?",4483,97.079003671,0.02165491940017845,74334650,1218279,1
"SELECT `p` . `category` , `p` . `id` AS `product_id` , `p` . `name` , SUM ( `oi` . `quantity` ) AS `qty_sold` , SUM ( `oi` . `quantity` * `oi` . `unit_price` ) AS `revenue` FROM `order_items` `oi` JOIN `products` `p` ON `p` . `id` = `oi` . `product_id` GROUP BY `p` . `category` , `p` . `id` , `p` . `name` HAVING `qty_sold` > ? ORDER BY `revenue` DESC LIMIT ?",4566,85.193436616,0.018658220897065265,30850390,162304,1
"SELECT `p` . `category` , SUM ( `oi` . `quantity` * `oi` . `unit_price` ) AS `revenue` FROM `order_items` `oi` JOIN `products` `p` ON `p` . `id` = `oi` . `product_id` JOIN `orders` `o` ON `o` . `id` = `oi` . `order_id` WHERE `o` . `created_at` >= NOW ( ) - INTERVAL ? SQL_TSI_DAY GROUP BY `p` . `category` ORDER BY `revenue` DESC",4478,76.014931789,0.01697519691581063,46999684,22390,1
"SELECT `u` . `city` , AVG ( `s` . `duration` ) AS `avg_duration` FROM `users` `u` JOIN `sessions` `s` ON `s` . `user_id` = `u` . `id` GROUP BY `u` . `city` ORDER BY `avg_duration` DESC LIMIT ?",4494,52.158478719,0.011606248046061415,27399918,35952,1
"SELECT `u` . `id` AS `user_id` , `u` . `city` , COUNT ( DISTINCTROW `o` . `id` ) AS `nb_orders` , SUM ( `oi` . `quantity` * `oi` . `unit_price` ) AS `revenue` , AVG ( `s` . `duration` ) AS `avg_session_duration` FROM `users` `u` JOIN `orders` `o` ON `o` . `user_id` = `u` . `id` JOIN `order_items` `oi` ON `oi` . `order_id` = `o` . `id` JOIN `products` `p` ON `p` . `id` = `oi` . `product_id` JOIN `sessions` `s` ON `s` . `user_id` = `u` . `id` WHERE `s` . `duration` > ? AND `s` . `created_at` >= NOW ( ) - INTERVAL ? SQL_TSI_DAY GROUP BY `u` . `id` , `u` . `city` ORDER BY `revenue` DESC , `avg_session_duration` DESC LIMIT ?",1661,46.729351827,0.028133264194461167,36964733,432611,1
SELECT * FROM `users` `u` WHERE ( SELECT SUM ( `o` . `total_amount` ) FROM `orders` `o` WHERE `o` . `user_id` = `u` . `id` AND `o` . `status` = ? ) > ? ORDER BY `u` . `created_at` DESC LIMIT ?,4584,42.324505335,0.009233094532068064,17569417,150217,1
"SELECT `u` . `id` AS `user_id` , `u` . `city` AS `city` , COUNT ( DISTINCTROW `o` . `id` ) AS `nb_orders` , SUM ( `oi` . `quantity` ) AS `total_items` , SUM ( `oi` . `quantity` * `oi` . `unit_price` ) AS `total_spent` FROM `users` `u` JOIN `orders` `o` ON `o` . `user_id` = `u` . `id` JOIN `order_items` `oi` ON `oi` . `order_id` = `o` . `id` JOIN `products` `p` ON `p` . `id` = `oi` . `product_id` WHERE `o` . `created_at` >= NOW ( ) - INTERVAL ? SQL_TSI_DAY GROUP BY `u` . `id` , `u` . `city` HAVING `total_items` > ? ORDER BY `total_spent` DESC LIMIT ?",1606,41.436438834,0.025801020444582812,32102200,621503,1
"SELECT `session_type` , COUNT ( * ) AS `nb` FROM `sessions` GROUP BY `session_type`",10381,38.835938488,0.0037410594825161353,47223169,31143,1
SELECT * FROM `users` WHERE `id` NOT IN ( SELECT DISTINCTROW `user_id` FROM `sessions` ),10442,34.723859512,0.0033254031327331927,32161360,0,1
"SELECT `p` . `category` , SUM ( `oi` . `quantity` ) FROM `products` `p` JOIN `order_items` `oi` ON `p` . `id` = `oi` . `product_id` GROUP BY `p` . `category`",2248,29.436619387,0.013094581577846976,15108808,11240,1
"SELECT `u` . `city` , AVG ( `s` . `duration` ) FROM `users` `u` JOIN `sessions` `s` ON `u` . `id` = `s` . `user_id` GROUP BY `u` . `city`",2294,26.831069959,0.011696194402353968,13968166,18352,1
